id,picture_id,name,now_cost,position,team,expected_goals_conceded,corners_and_indirect_freekicks_order,selected_rank_type,points_per_game_rank_type,minutes,points_per_game,expected_goals_conceded_per_90,value_season,ep_next,starts,chance_of_playing_this_round,form_rank,form,expected_goal_involvements,own_goals,saves_per_90,assists,expected_assists_per_90,goals_conceded,bonus,yellow_cards,influence_rank,creativity_rank,expected_goals,chance_of_playing_next_round,penalties_missed,event_points,web_name,penalties_order,value_form,transfers_in,in_dreamteam,now_cost_rank,ep_this,selected_rank,goals_scored,ict_index_rank,transfers_in_event,ict_index,transfers_out_event,cost_change_start_fall,transfers_out,expected_goals_per_90,creativity_rank_type,influence,now_cost_rank_type,threat,news,penalties_saved,threat_rank,clean_sheets_per_90,dreamteam_count,clean_sheets,starts_per_90,cost_change_event_fall,status,selected_by_percent,total_points,form_rank_type,saves,bps,cost_change_event,expected_goal_involvements_per_90,goals_conceded_per_90,expected_assists,ict_index_rank_type,points_per_game_rank,direct_freekicks_order,news_added,cost_change_start,red_cards,creativity,threat_rank_type,influence_rank_type
1,p232223,Folarin Balogun,44,FWD,Arsenal,0.00,,47,63,0,0.0,0.0,0.0,0.0,0,0.0,537,0.0,0.00,0,0.0,0,0.0,0,0,0,593,584,0.00,0.0,0,0,Balogun,,0.0,10024,FALSE,523,0.0,304,0,600,0,0.0,357,1,59373,0.0,60,0.0,92,0.0,Transferred to Monaco,0,570,0.0,0,0,0.0,0,u,0.2,0,50,0,0,0,0.0,0.0,0.00,59,606,,2023-08-31T08:55:15.272751Z,-1,0,0.0,59,57
2,p58822,Cédric Alves Soares,39,DEF,Arsenal,0.00,,97,156,0,0.0,0.0,0.0,0.5,0,,362,0.0,0.00,0,0.0,0,0.0,0,0,0,456,437,0.00,,0,0,Cédric,,0.0,27262,FALSE,712,1.0,248,0,462,978,0.0,1019,1,29148,0.0,157,0.0,226,0.0,,0,412,0.0,0,0,0.0,0,a,0.4,0,115,0,0,0,0.0,0.0,0.00,159,467,,,-1,0,0.0,147,160
3,p153256,Mohamed Elneny,44,MID,Arsenal,0.00,,129,31,1,4.0,0.0,0.9,1.8,0,100.0,213,1.3,0.00,0,0.0,1,0.0,0,0,0,441,417,0.00,100.0,0,0,M.Elneny,,0.3,11519,FALSE,491,2.3,401,0,443,465,0.4,524,1,14277,0.0,208,1.8,281,2.0,,0,395,0.0,0,0,0.0,0,a,0.1,4,100,0,12,0,0.0,0.0,0.00,207,57,,2023-08-11T13:00:06.079379Z,-1,0,0.5,197,206
4,p438098,Fábio Ferreira Vieira,54,MID,Arsenal,1.48,5.0,128,78,236,2.6,0.56,3.9,0.0,2,100.0,200,1.7,1.55,0,0.0,3,0.13,2,0,0,255,190,1.20,0.0,0,-2,Fábio Vieira,4.0,0.3,11352,FALSE,126,2.7,394,1,225,44,21.9,1157,1,15785,0.46,112,79.4,81,77.0,Suspended until 09 Dec,0,149,0.38,0,1,0.76,0,s,0.1,21,93,0,62,0,0.59,0.76,0.35,110,179,,2023-11-12T02:00:08.552136Z,-1,1,63.6,91,102
5,p226597,Gabriel dos Santos Magalhães,48,DEF,Arsenal,7.50,,7,49,744,2.9,0.91,6.0,1.8,8,100.0,226,1.3,0.45,0,0.0,0,0.01,7,2,1,164,304,0.34,100.0,0,2,Gabriel,,0.3,859825,FALSE,302,2.3,23,0,234,24360,21.1,20569,2,2276723,0.04,102,137.8,35,46.0,,0,208,0.36,0,3,0.97,0,a,14.9,29,77,0,142,0,0.05,0.85,0.11,73,145,,2023-09-30T23:00:07.672676Z,-2,0,26.6,52,65
6,p219847,Kai Havertz,71,MID,Arsenal,6.22,,44,100,711,2.1,0.79,3.5,2.2,8,,203,1.7,2.99,0,0.0,1,0.09,6,0,4,235,89,2.30,,0,1,Havertz,3.0,0.2,38768,FALSE,28,2.7,146,1,112,1392,37.3,2762,4,348490,0.29,64,96.4,16,147.0,,0,67,0.38,0,3,1.01,0,a,1.5,25,96,0,64,0,0.38,0.76,0.69,64,230,,,-4,0,129.8,41,93
8,p205651,Gabriel Fernando de Jesus,78,FWD,Arsenal,4.22,,22,24,362,2.6,1.05,2.3,0.2,4,25.0,737,0.0,2.01,0,0.0,1,0.07,4,2,2,276,210,1.71,50.0,0,0,G.Jesus,,0.0,402234,FALSE,15,0.2,132,1,194,1139,26.9,6523,2,520089,0.43,33,67.8,6,144.0,Hamstring injury - 50% chance of playing,0,70,0.5,0,2,0.99,0,d,1.9,18,94,0,51,0,0.5,0.99,0.30,30,182,,2023-10-24T23:30:07.618920Z,-2,0,58.7,25,33
9,,Jorge Luiz Frello Filho,53,MID,Arsenal,4.68,,97,149,381,1.4,1.11,2.5,1.8,4,100.0,232,1.3,0.39,0,0.0,0,0.07,6,0,1,304,187,0.09,100.0,0,2,Jorginho,,0.2,7371,FALSE,132,2.3,325,0,309,474,12.3,388,2,15103,0.02,111,49.6,83,9.0,,0,356,0.24,0,1,0.94,0,a,0.2,13,107,0,60,0,0.09,1.42,0.30,139,318,,2023-08-07T15:30:05.168632Z,-2,0,64.7,181,130
10,p440854,Jakub Kiwior,43,DEF,Arsenal,0.87,,163,73,182,2.2,0.43,2.1,2.8,2,,129,2.3,0.37,0,0.0,0,0.02,2,0,0,353,376,0.32,,0,1,Kiwior,,0.5,3727,FALSE,597,3.3,422,0,373,140,5.3,204,2,7394,0.16,137,29.4,153,16.0,,0,314,0.49,0,1,0.99,0,a,0.1,9,43,0,42,0,0.18,0.99,0.05,134,213,,,-2,0,6.4,105,136
11,,Marcus Oliveira Alencar,45,MID,Arsenal,0.00,,178,269,0,0.0,0.0,0.0,0.0,0,0.0,601,0.0,0.00,0,0.0,0,0.0,0,0,0,652,648,0.00,0.0,0,0,Marquinhos,,0.0,819,FALSE,426,0.0,514,0,658,0,0.0,62,0,11431,0.0,263,0.0,246,0.0,Season long loan to FC Nantes,0,638,0.0,0,0,0.0,0,u,0.0,0,230,0,0,0,0.0,0.0,0.00,266,662,,2023-08-14T03:57:12.475590Z,0,0,0.0,258,262
12,p444145,Gabriel Martinelli Silva,78,MID,Arsenal,5.89,2.0,18,55,721,3.1,0.74,4.0,2.8,9,100.0,145,2.3,2.75,0,0.0,2,0.19,8,0,0,130,22,1.22,100.0,0,2,Martinelli,,0.3,743722,FALSE,16,3.3,54,1,27,16749,71.7,43378,2,1412324,0.15,17,163.0,9,268.0,,0,29,0.25,0,2,1.12,0,a,7.4,31,63,0,137,0,0.34,1.0,1.53,19,129,3.0,2023-11-12T02:00:08.588141Z,-2,0,287.0,16,52
13,p205533,Eddie Nketiah,57,FWD,Arsenal,5.63,,6,10,766,4.2,0.66,8.8,7.2,9,75.0,14,6.7,3.45,0,0.0,2,0.04,5,5,2,121,145,3.14,100.0,0,1,Nketiah,,1.2,1383074,FALSE,85,5.8,38,5,59,53803,53.4,57128,-2,773502,0.37,16,179.4,27,272.0,,0,27,0.7,1,6,1.06,0,a,10.2,50,3,0,159,0,0.41,0.59,0.31,13,52,,2023-11-09T08:30:08.250179Z,2,0,90.6,13,14
14,p184029,Martin Ødegaard,83,MID,Arsenal,7.61,3.0,10,10,789,5.3,0.87,5.8,0.4,9,75.0,739,0.0,3.77,0,0.0,2,0.13,7,6,1,81,34,2.61,75.0,0,0,Ødegaard,2.0,0.0,1077732,FALSE,10,0.8,27,3,37,2507,65.3,104744,2,2094959,0.3,27,217.4,7,197.0,Hip injury - 75% chance of playing,0,44,0.46,1,4,1.03,1,d,14.0,48,320,0,161,-1,0.43,0.8,1.16,26,17,1.0,2023-11-04T21:00:08.152623Z,-2,0,239.2,27,31
15,p167199,Thomas Partey,48,MID,Arsenal,2.53,,105,119,250,1.8,0.91,1.5,0.0,3,0.0,655,0.0,0.28,0,0.0,0,0.08,2,0,0,295,204,0.07,0.0,0,0,Thomas,,0.0,8484,FALSE,290,0.0,345,0,303,17,13.1,392,2,35568,0.03,119,55.8,190,15.0,Muscle injury - Unknown return date,0,321,0.36,0,1,1.08,0,i,0.2,7,266,0,58,0,0.11,0.72,0.21,137,271,,2023-10-25T12:00:07.465521Z,-2,0,60.0,162,124
16,p195735,Nicolas Pépé,49,MID,Arsenal,0.00,,180,298,0,0.0,0.0,0.0,0.0,0,0.0,669,0.0,0.00,0,0.0,0,0.0,0,0,0,701,699,0.00,0.0,0,0,Pepe,,0.0,667,FALSE,243,0.0,517,0,703,0,0.0,35,1,6189,0.0,296,0.0,155,0.0,Permanent move to Trabzonspor,0,696,0.0,0,0,0.0,0,u,0.0,0,277,0,0,0,0.0,0.0,0.00,298,704,,2023-09-11T14:13:51.462896Z,-1,0,0.0,294,297
17,p225321,Aaron Ramsdale,47,GKP,Arsenal,3.73,,9,15,360,2.8,0.93,2.3,0.5,4,,645,0.0,0.01,0,1.25,0,0.0,4,0,0,301,683,0.00,,0,0,Ramsdale,,0.0,220533,FALSE,325,1.0,49,0,376,6943,5.1,19393,3,1253511,0.0,78,51.0,12,0.0,,0,676,0.25,0,1,1.0,0,a,7.6,11,83,5,55,0,0.0,1.0,0.01,23,154,,,-3,0,0.0,76,23
18,p115918,Rúnar Alex Rúnarsson,40,GKP,Arsenal,0.00,,59,52,0,0.0,0.0,0.0,0.0,0,0.0,401,0.0,0.00,0,0.0,0,0.0,0,0,0,489,474,0.00,0.0,0,0,Rúnarsson,,0.0,990,FALSE,627,0.0,412,0,496,0,0.0,112,0,9723,0.0,36,0.0,43,0.0,Season long loan to Cardiff City,0,450,0.0,0,0,0.0,0,u,0.1,0,51,0,0,0,0.0,0.0,0.00,52,500,,2023-08-20T06:33:02.960208Z,0,0,0.0,29,52
19,p223340,Bukayo Saka,86,MID,Arsenal,8.62,1.0,1,3,945,6.5,0.82,8.3,4.8,11,75.0,52,4.3,7.48,0,0.0,6,0.32,10,8,1,13,4,4.15,100.0,0,5,Saka,1.0,0.5,2431377,TRUE,7,4.0,2,4,3,131688,111.3,46776,-1,3259708,0.4,3,338.2,5,351.0,,0,14,0.38,2,4,1.05,0,a,50.5,71,28,0,264,0,0.72,0.95,3.33,2,5,,2023-11-09T08:30:08.290130Z,1,0,424.0,8,5
20,p462424,William Saliba,54,DEF,Arsenal,9.55,,3,8,1080,4.6,0.8,10.2,6.5,12,100.0,19,6.0,1.16,0,0.0,1,0.04,10,5,0,49,218,0.70,100.0,0,9,Saliba,,1.1,2211415,TRUE,127,7.0,11,1,128,237932,34.9,9417,-4,1205291,0.06,58,249.8,9,44.0,,0,216,0.42,0,5,1.0,-1,a,30.8,55,5,0,250,1,0.1,0.83,0.46,35,37,,2023-10-09T08:30:07.861646Z,4,0,53.8,58,14
22,p209289,Emile Smith Rowe,53,MID,Arsenal,0.17,,130,95,104,2.2,0.15,1.7,0.6,1,25.0,169,2.0,0.85,0,0.0,1,0.04,0,0,0,341,333,0.80,25.0,0,0,Smith Rowe,,0.4,4628,FALSE,141,0.8,403,0,336,16,9.1,373,2,15081,0.69,174,33.8,90,41.0,Knee injury - 25% chance of playing,0,223,0.87,0,1,0.87,0,d,0.1,9,76,0,24,0,0.73,0.0,0.05,152,221,,2023-11-02T11:00:07.493976Z,-2,0,17.2,117,149
24,p192895,Kieran Tierney,44,DEF,Arsenal,0.00,,155,225,0,0.0,0.0,0.0,0.0,0,0.0,526,0.0,0.00,0,0.0,0,0.0,0,0,0,585,575,0.00,0.0,0,0,Tierney,,0.0,2665,FALSE,503,0.0,399,0,592,0,0.0,120,1,27882,0.0,227,0.0,104,0.0,Season long loan to Real Sociedad,0,561,0.0,0,0,0.0,0,u,0.1,0,210,0,0,0,0.0,0.0,0.00,227,598,,2023-08-29T07:46:59.686803Z,-1,0,0.0,225,227
25,p223723 ,Takehiro Tomiyasu,45,DEF,Arsenal,4.77,,95,79,415,2.0,1.03,4.4,4.2,3,100.0,62,3.7,0.61,0,0.0,0,0.05,4,0,0,261,306,0.38,100.0,0,2,Tomiyasu,,0.8,36270,FALSE,387,4.7,246,1,289,4077,14.7,1429,0,25416,0.08,104,76.8,74,46.0,,0,207,0.22,0,1,0.65,0,a,0.4,20,17,0,76,0,0.13,0.87,0.23,101,238,,2023-08-22T00:00:07.272418Z,0,1,26.2,51,105
26,p116216,Leandro Trossard,65,MID,Arsenal,2.18,4.0,36,25,300,4.4,0.65,5.4,5.5,3,100.0,35,5.0,2.06,0,0.0,1,0.32,3,6,0,135,95,1.01,100.0,0,13,Trossard,,0.8,182310,FALSE,46,6.0,123,3,91,45699,43.7,4384,5,507053,0.3,69,158.2,28,151.0,,0,65,0.3,2,1,0.9,0,a,2.3,35,17,0,118,0,0.62,0.9,1.05,57,44,,2023-10-09T08:30:07.911344Z,-5,0,127.3,40,54
29,p198869,Benjamin White,58,DEF,Arsenal,9.24,,8,6,947,4.8,0.88,9.1,2.4,11,,125,2.7,1.38,0,0.0,1,0.08,9,7,2,69,56,0.56,75.0,0,0,White,,0.5,1194245,FALSE,75,3.7,25,1,74,7325,48.2,174057,-3,716032,0.05,11,229.0,6,77.0,Muscle injury - 75% chance of playing,0,151,0.48,2,5,1.05,0,d,14.6,53,41,0,236,0,0.13,0.86,0.82,13,29,,2023-11-12T02:00:08.673390Z,3,0,176.2,22,21
30,p84450,Granit Xhaka,60,MID,Arsenal,0.00,,272,319,0,0.0,0.0,0.0,0.0,0,0.0,724,0.0,0.00,0,0.0,0,0.0,0,0,0,735,735,0.00,0.0,0,0,Xhaka,,0.0,0,FALSE,63,0.0,670,0,735,0,0.0,7,0,1186,0.0,319,0.0,39,0.0,Transferred to Bayer Leverkusen,0,735,0.0,0,0,0.0,0,u,0.0,0,314,0,0,0,0.0,0.0,0.00,319,734,,2023-07-11T08:41:07.159936Z,0,0,0.0,319,319
31,p206325,Oleksandr Zinchenko,50,DEF,Arsenal,5.52,,18,13,663,4.0,0.75,8.8,6.8,8,,17,6.3,1.34,0,0.0,0,0.14,6,6,1,137,63,0.34,,0,10,Zinchenko,,1.3,465195,FALSE,192,7.3,58,1,102,101101,40.0,5965,0,465544,0.05,13,157.8,24,73.0,,0,155,0.54,1,4,1.09,-1,a,7.0,44,4,0,191,1,0.19,0.81,1.00,24,62,,,0,0,170.2,26,49
113,p154561,David Raya Martin,49,GKP,Arsenal,5.82,,14,3,720,4.4,0.73,7.1,0.0,8,,66,3.7,0.00,0,1.5,0,0.0,6,2,0,207,696,0.00,0.0,0,3,Raya,,0.8,364114,FALSE,236,4.7,85,0,319,8256,11.1,31630,1,415145,0.0,81,112.0,8,0.0,Ineligible to face his parent club club on 25/11. - Expected back 02 Dec,0,693,0.5,0,4,1.0,0,n,4.6,35,5,12,152,0,0.0,0.75,0.00,21,43,,2023-11-13T01:00:08.923385Z,-1,0,0.0,80,21
540,p204480,Declan Rice,54,MID,Arsenal,8.84,,23,39,1023,3.8,0.78,8.5,3.8,12,100.0,78,3.3,1.64,0,0.0,1,0.07,9,5,0,41,69,0.90,100.0,0,2,Rice,,0.6,332869,FALSE,122,4.3,76,2,66,13391,51.5,15707,1,449344,0.08,50,263.8,77,99.0,,0,119,0.44,1,5,1.06,0,a,5.4,46,42,0,217,0,0.15,0.79,0.74,43,80,,2023-09-24T22:30:08.321972Z,-1,0,151.3,73,13
578,p200641,Reiss Nelson,49,MID,Arsenal,0.56,,184,203,61,1.0,0.83,1.0,1.2,0,100.0,298,0.7,0.16,0,0.0,0,0.21,0,0,0,399,279,0.02,100.0,0,1,Nelson,,0.1,5591,FALSE,244,1.7,522,0,374,144,5.3,178,1,6136,0.03,149,10.8,156,10.0,,0,348,0.0,0,0,0.0,0,a,0.0,5,143,0,17,0,0.24,0.0,0.14,171,419,,2023-08-07T15:30:06.067296Z,-1,0,32.4,177,180
